id;age;gender;cloudKnowledge;createAWSvm;createAZUREvm
8;22;Male;1;No;No
7;23;Male;1;No;No
5;19;Male;2;No;No
6;23;Prefer not to say;2;No;No
4;22;Male;3;No;Yes
2;22;Male;2;No;Yes
11;20;Male;1;Yes;Yes
1;21;Male;1;Yes;Yes
10;20;Male;2;No;No
3;20;Prefer not to say;1;Yes;No
9;19;Male;1;Yes;Yes
